ចុងសប្ដាហ៍	ចុង|សប្ដាហ៍	ច・ុ・ង・ស・ប・្・ដ・ា・ហ・៍
ប្ដូរស្លាប់ប្ដូររស់	ប្ដូរ|ស្លាប់|ប្ដូរ|រស់	ប・្・ដ・ូ・រ・ស・្・ល・ា・ប・់・ប・្・ដ・ូ・រ・រ・ស・់
ប្ដេជ្ញា	ប្ដេជ្ញា	ប・្・ដ・េ・ជ・្・ញ・ា
ប្រញប្ដ	ប្រញប្ដ	ប・្・រ・ញ・ប・្・ដ
ប្រញប្ដិ	ប្រញប្ដិ	ប・្・រ・ញ・ប・្・ដ・ិ
ប្រាប្ដ	ប្រាប្ដ	ប・្・រ・ា・ប・្・ដ
ប្រាប្ដាភិលាភ	ប្រាប្ដា|ភិលាភ	ប・្・រ・ា・ប・្・ដ・ា・ភ・ិ・ល・ា・ភ
ប្រាប្ដាភិសេក	ប្រាប្ដាភិសេក	ប・្・រ・ា・ប・្・ដ・ា・ភ・ិ・ស・េ・ក
ផ្ដាច់ប្ដូរ	ផ្ដាច់|ប្ដូរ	ផ・្・ដ・ា・ច・់・ប・្・ដ・ូ・រ
ផ្លាស់ប្ដូរ	ផ្លាស់|ប្ដូរ	ផ・្・ល・ា・ស・់・ប・្・ដ・ូ・រ
ពូជគោជ្រលែងពូជស្រីប្ដីលែងពូជឆ្កែបង់ម្ចាស់	ពូជ|គោ|ជ្រលែង|ពូជ|ស្រី|ប្ដី|លែង|ពូជ|ឆ្កែ|បង់|ម្ចាស់	ព・ូ・ជ・គ・ោ・ជ・្・រ・ល・ែ・ង・ព・ូ・ជ・ស・្・រ・ី・ប・្・ដ・ី・ល・ែ・ង・ព・ូ・ជ・ឆ・្・ក・ែ・ប・ង・់・ម・្・ច・ា・ស・់
យកប្ដី	យក|ប្ដី	យ・ក・ប・្・ដ・ី
យល់សប្ដ	យល់|សប្ដ	យ・ល・់・ស・ប・្・ដ
យល់សប្ដិ	យល់|សប្ដិ	យ・ល・់・ស・ប・្・ដ・ិ
លិខិតប្ដូរសារ	លិខិត|ប្ដូរ|សារ	ល・ិ・ខ・ិ・ត・ប・្・ដ・ូ・រ・ស・ា・រ
លិប្ដា	លិប្ដា	ល・ិ・ប・្・ដ・ា
លួចប្ដីគេ	លួច|ប្ដី|គេ	ល・ួ・ច・ប・្・ដ・ី・គ・េ
វិលិប្ដា	វិលិប្ដា	វ・ិ・ល・ិ・ប・្・ដ・ា
វេទនាប្រាប្ដ	វេទនា|ប្រាប្ដ	វ・េ・ទ・ន・ា・ប・្・រ・ា・ប・្・ដ
សប្ដ	សប្ដ	ស・ប・្・ដ
សប្ដប្រករណ៍	សប្ដ|ប្រករណ៍	ស・ប・្・ដ・ប・្・រ・ក・រ・ណ・៍
សប្ដស័ក	សប្ដ|ស័ក	ស・ប・្・ដ・ស・័・ក
សប្ដាហក្រឹត្យ	សប្ដាហ|ក្រឹត្យ	ស・ប・្・ដ・ា・ហ・ក・្・រ・ឹ・ត・្・យ
សប្ដាហៈ	សប្ដាហៈ	ស・ប・្・ដ・ា・ហ・ៈ
សប្ដាហ៍	សប្ដាហ៍	ស・ប・្・ដ・ា・ហ・៍
សប្ដាហ័ន	សប្ដាហ័ន	ស・ប・្・ដ・ា・ហ・័・ន
សប្ដិ	សប្ដិ	ស・ប・្・ដ・ិ
សម្ពាធប្រាប្ដ	សម្ពាធ|ប្រាប្ដ	ស・ម・្・ព・ា・ធ・ប・្・រ・ា・ប・្・ដ
សម្ពោធិប្រាប្ដ	សម្ពោធិ|ប្រាប្ដ	ស・ម・្・ព・ោ・ធ・ិ・ប・្・រ・ា・ប・្・ដ
សឹកប្ដឹក	សឹក|ប្ដឹក	ស・ឹ・ក・ប・្・ដ・ឹ・ក
សុខប្រាប្ដ	សុខ|ប្រាប្ដ	ស・ុ・ខ・ប・្・រ・ា・ប・្・ដ
ស័ប្ដ	ស័ប្ដ	ស・័・ប・្・ដ
អឌ្ឍសប្ដាហ៍	អឌ្ឍ|សប្ដាហ៍	អ・ឌ・្・ឍ・ស・ប・្・ដ・ា・ហ・៍
អនវតប្ដៈ	អនវតប្ដៈ	អ・ន・វ・ត・ប・្・ដ・ៈ
អនវត័ប្ដ	អនវត័ប្ដ	អ・ន・វ・ត・័・ប・្・ដ
ឧបគុប្ដ	ឧបគុប្ដ	ឧ・ប・គ・ុ・ប・្・ដ
