ខូចផ្ដាច់	ខ・ូ・ច・ផ・្・ដ・ា・ច・់
ផ្ដាច់ខ្លួន	ផ・្・ដ・ា・ច・់・ខ・្・ល・ួ・ន
ផ្ដាច់ព្រលឹង	ផ・្・ដ・ា・ច・់・ព・្・រ・ល・ឹ・ង
ផ្ដាច់មុខ	ផ・្・ដ・ា・ច・់・ម・ុ・ខ
ផ្ដាច់សង្ខារ	ផ・្・ដ・ា・ច・់・ស・ង・្・ខ・ា・រ
ផ្ដាស	ផ・្・ដ・ា・ស
ផ្ដាស!	ផ・្・ដ・ា・ស・!
មនុស្សទាំងផ្ដាស	ម・ន・ុ・ស・្・ស・ទ・ា・ំ・ង・ផ・្・ដ・ា・ស
ផ្ដាសា	ផ・្・ដ・ា・ស・ា
ផ្ដាសាយ	ផ・្・ដ・ា・ស・ា・យ
ផ្ដាសាយធំ	ផ・្・ដ・ា・ស・ា・យ・ធ・ំ
ផ្ដាសាយបក្សី	ផ・្・ដ・ា・ស・ា・យ・ប・ក・្・ស・ី
ផ្ដិត	ផ・្・ដ・ិ・ត
ផ្ដុស	ផ・្・ដ・ុ・ស
ផ្ដូត	ផ・្・ដ・ូ・ត
ផ្ដួច	ផ・្・ដ・ួ・ច
ផ្ដួចផ្ដើម	ផ・្・ដ・ួ・ច・ផ・្・ដ・ើ・ម
ផ្ដួចផ្ដើម	ផ・្・ដ・ួ・ច・ផ・្・ដ・ើ・ម
ផ្ដួល	ផ・្・ដ・ួ・ល
ផ្ដើម	ផ・្・ដ・ើ・ម
ចាប់ផ្ដើម	ច・ា・ប・់・ផ・្・ដ・ើ・ម
ផ្ដៀក	ផ・្・ដ・ៀ・ក
ផ្ដៀង	ផ・្・ដ・ៀ・ង
ផ្ដៀងផ្ដង	ផ・្・ដ・ៀ・ង・ផ・្・ដ・ង
ផ្ដៀងផ្ដង	ផ・្・ដ・ៀ・ង・ផ・្・ដ・ង
ផ្ដៀច	ផ・្・ដ・ៀ・ច
ផ្ដៀចៗ	ផ・្・ដ・ៀ・ច・ៗ
ផ្ដេក	ផ・្・ដ・េ・ក
ផ្ដេកចិត្ត	ផ・្・ដ・េ・ក・ច・ិ・ត・្・ត
ផ្ដេកផ្ដិត	ផ・្・ដ・េ・ក・ផ・្・ដ・ិ・ត
ផ្ដេកផ្ដិត	ផ・្・ដ・េ・ក・ផ・្・ដ・ិ・ត
ផ្ដេកផ្ដួល	ផ・្・ដ・េ・ក・ផ・្・ដ・ួ・ល
ផ្ដេកផ្ដួល	ផ・្・ដ・េ・ក・ផ・្・ដ・ួ・ល
ផ្ដេកស្រូវ	ផ・្・ដ・េ・ក・ស・្・រ・ូ・វ
ផ្ដេកមក្លឿ	ផ・្・ដ・េ・ក・ម・ក・្・ល・ឿ
ផ្ដេច	ផ・្・ដ・េ・ច
ផ្ដេសផ្ដាស	ផ・្・ដ・េ・ស・ផ・្・ដ・ា・ស
ផ្ដេសផ្ដាស	ផ・្・ដ・េ・ស・ផ・្・ដ・ា・ស
ផ្ដែ	ផ・្・ដ・ែ
ផ្ដែផ្ដាំ	ផ・្・ដ・ែ・ផ・្・ដ・ា・ំ
ផ្ដែផ្ដាំ	ផ・្・ដ・ែ・ផ・្・ដ・ា・ំ
ផ្ដែក	ផ・្・ដ・ែ・ក
ផ្ដែកវេរ	ផ・្・ដ・ែ・ក・វ・េ・រ
ផ្ដែរ	ផ・្・ដ・ែ・រ
ផ្ដោត	ផ・្・ដ・ោ・ត
ផ្ដោតចិត្ត	ផ・្・ដ・ោ・ត・ច・ិ・ត・្・ត
ផ្ដោមៗ	ផ・្・ដ・ោ・ម・ៗ
ផ្ដោះផ្ដង	ផ・្・ដ・ោ・ះ・ផ・្・ដ・ង
ផ្ដោះផ្ដង	ផ・្・ដ・ោ・ះ・ផ・្・ដ・ង
ផ្ដៅ	ផ・្・ដ・ៅ
ផ្ដុំ	ផ・្・ដ・ុ・ំ
ផ្ដាំ	ផ・្・ដ・ា・ំ
ផ្គរផ្ដាំក្ដាមខ្យង	ផ・្・គ・រ・ផ・្・ដ・ា・ំ・ក・្・ដ・ា・ម・ខ・្・យ・ង
ផ្ដាំប្រដៅ	ផ・្・ដ・ា・ំ・ប・្・រ・ដ・ៅ
ផ្ដាំផ្ញើ	ផ・្・ដ・ា・ំ・ផ・្・ញ・ើ
ផ្ទុកផ្ដាក់	ផ・្・ទ・ុ・ក・ផ・្・ដ・ា・ក・់
ស៊ីផ្ដាច់ស្រុក	ស・៊・ី・ផ・្・ដ・ា・ច・់・ស・្・រ・ុ・ក
ផ្ដាច់	ផ・្・ដ・ា・ច・់
ផ្ដាសាយ	ផ・្・ដ・ា・ស・ា・យ
ផ្ដិត	ផ・្・ដ・ិ・ត
ផ្ដួល	ផ・្・ដ・ួ・ល
ស៊ីផ្ដាច់ស្រុក	ស・៊・ី・ផ・្・ដ・ា・ច・់・ស・្・រ・ុ・ក
